ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Page 1, Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, PCR NTC, PCR NTC
33,2.336766613,1.883399274,1.895297678,2.144274052,2.29699143,1.681035579,1.886015106,2.38434933,1.994471539,2.228529285,5.543195748,5.223817153,4.859082933,5.544157529,4.733552046,6.117545332,4.471002409,5.909349672,5.541841999,5.171536838,2.094860253,2.034027619,2.14858766,1.80777794,2.189765011,2.085908293,1.832390544,1.874952316,2.186383084,2.190843413,1.971656367,1.908140688
34,2.309548333,1.87779871,1.924467842,2.165691179,2.287545368,1.668029079,1.878150841,2.400713653,1.980482324,2.231413966,6.530098421,6.138821886,5.617902354,6.459965609,5.633957863,7.259021897,5.138017853,7.07092902,6.538999517,5.986530445,2.107270924,2.133211261,2.148470283,1.824040002,2.18731143,2.070445818,1.881110421,1.877916087,2.200799752,2.319698307,1.962717123,1.934022337
35,2.310651887,1.897568366,1.874746906,2.166653951,2.269143715,1.679509677,1.884162225,2.391374838,1.988759187,2.235991673,7.388545561,7.03994049,6.592878396,7.465018692,6.523231861,8.396849012,5.903238727,8.150733705,7.470944279,6.967555505,2.18112459,2.243780481,2.15304799,1.81857023,2.196281885,2.079677526,1.981434857,1.949750867,2.192111086,2.411688411,1.947705152,1.940008569
36,2.347854836,1.899513472,1.903671975,2.180514229,2.336391007,1.719255796,1.92802828,2.4539777,1.996018782,2.21419307,8.265405254,8.054692694,7.574451311,8.593881132,7.340645926,9.660486763,6.418961878,9.128416407,8.280308232,7.931522205,2.265354391,2.321304138,2.152369811,1.805360276,2.22432942,2.092011902,2.132624376,2.03393225,2.216058774,2.570000763,1.951221993,1.835777711
37,2.334450832,1.923330351,1.898331317,2.203097581,2.326187025,1.703963237,1.922745752,2.458463182,2.088858371,2.224530638,8.952329428,8.858981206,8.418637135,9.442634881,8.353551537,10.79139827,7.506784815,9.90474849,9.059868186,8.862694235,2.403499402,2.376306554,2.133211261,1.846693781,2.279152906,2.113919498,2.362448721,2.114078795,2.211032273,2.689620595,1.954026747,1.865239361
38,2.361503183,1.885252155,1.883902319,2.183566033,2.336156252,1.752244348,1.922402005,2.435012916,2.056446643,2.271850374,9.519449803,9.70616846,9.221304369,10.2606023,8.947186178,11.70097012,7.931857568,10.51534412,9.141093133,9.6950103,2.533150225,2.427593007,2.14017319,1.817240515,2.351517001,2.106801416,2.590109974,2.398514789,2.232503897,2.777728871,2.0020854,1.863794156
39,2.211947814,1.947718776,1.920054463,2.201994237,2.357518883,1.788357366,1.921469893,2.479373072,2.070649271,2.239588442,9.87047438,10.27531635,9.88174258,10.71837295,9.457650765,12.51621271,8.202773327,10.87139914,9.881415601,10.44131271,2.669718471,2.507915618,2.180296243,1.82105527,2.383840696,2.139009689,2.825767402,2.733806363,2.217571854,2.853789226,1.973601892,1.888521946
40,2.362668803,1.928036105,1.905953562,2.218988763,2.375829709,1.780291883,1.934961354,2.445258259,2.068152341,2.239202775,10.09032167,11.54562993,10.67673762,11.1263338,9.767299916,13.10760154,8.296838839,11.134647,10.06543773,10.98973831,2.712618121,2.556942562,2.168307012,1.817254139,2.406474912,2.173002095,2.987607494,3.026067496,2.23261289,2.940054484,1.981166007,1.906258742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Cycling A.Green 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Page 1, Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, PCR NTC, PCR NTC
1,4.641249496,4.138246738,4.271305409,4.620986704,4.558926234,4.249528605,4.062496594,4.741690191,4.258206126,4.657816434,4.259365225,4.28293817,4.654669261,4.739921709,4.251515632,4.562256809,4.032724733,4.570077058,4.530810508,4.09787969,4.581412331,3.978662801,4.567729516,4.217006767,4.559090562,4.430457008,4.08812672,3.999944513,4.453631647,4.316968032,4.320236006,3.951617163
2,4.657256936,4.235141527,4.203351898,4.586643996,4.577960886,4.172906517,4.117001485,4.818188754,4.345115478,4.674124514,4.329420484,4.285852344,4.584725719,4.774765938,4.169745719,4.56724324,4.053735232,4.610949438,4.63334331,4.00056341,4.560819918,4.196739656,4.606902164,4.236158796,4.568837263,4.403892438,4.026448971,4.137483787,4.443427176,4.436204573,4.339030035,3.998626688
3,4.755474174,4.158464942,4.175122708,4.663360545,4.6089367,4.28034638,4.271381704,4.936293584,4.389039663,4.750720402,4.304570077,4.307504504,4.61825197,4.74273876,4.2640383,4.675473302,4.068172615,4.66599091,4.577823946,4.127213292,4.601651496,4.18008189,4.612098057,4.240130054,4.612584333,4.498637092,4.140041917,4.152183312,4.512804863,4.425930165,4.395838102,4.076256962
4,4.714229936,4.26935695,4.197470817,4.753302698,4.688620584,4.255959193,4.207548129,4.919635818,4.473741766,4.78662801,4.386205844,4.394480929,4.614437215,4.706492714,4.288221125,4.711604486,4.049274903,4.713981372,4.652802755,4.115739681,4.698634318,4.255506453,4.669478686,4.326586666,4.626153964,4.520739554,4.217124144,4.168219817,4.593601383,4.445970347,4.374878955,4.051815279
5,4.852721094,4.285714286,4.299076829,4.808880751,4.73884184,4.284224715,4.230035624,5.02138507,4.572659354,4.76037886,4.422954655,4.444835701,4.607243676,4.773734137,4.319359591,4.804811678,4.072196972,4.750133516,4.687219395,4.252689403,4.678721294,4.261031001,4.792095827,4.296068622,4.687806281,4.522338118,4.191653315,4.272424404,4.669529977,4.539793768,4.463263905,4.12098497
6,4.826755605,4.326804652,4.271327208,4.770842189,4.794098573,4.287349181,4.253511042,5.044867393,4.580431394,4.891715441,4.567729516,4.515614088,4.678670431,4.847028305,4.349736782,4.836875187,4.110671506,4.837872892,4.68041886,4.301191294,4.746273881,4.298943313,4.734220536,4.384151745,4.751557692,4.545444637,4.25480219,4.274814984,4.710841535,4.563591974,4.485682929,4.099145495
7,4.883322979,4.352853982,4.290023143,4.757901746,4.787191141,4.303262161,4.364181989,5.070137004,4.638088699,4.86599309,4.497923683,4.482388546,4.696218306,4.753889583,4.377609929,4.795096768,4.024567025,4.83395641,4.791877841,4.217702645,4.774329965,4.277485313,4.792389269,4.372883544,4.772259098,4.603060021,4.212076929,4.264779243,4.682289558,4.55669607,4.551221267,4.214659225
8,4.844622075,4.391219523,4.315796357,4.851962056,4.862614306,4.322226945,4.421829791,5.150154644,4.611712389,4.959534248,4.503289493,4.456874189,4.667633071,4.848268101,4.34462501,4.898690994,4.024414435,4.928077187,4.792858778,4.263574172,4.685155515,4.27416941,4.777490763,4.331527682,4.720319735,4.677602299,4.280273019,4.259337976,4.737544823,4.591322312,4.587167163,4.243330536
9,4.922451471,4.398565652,4.380647201,4.899366751,4.845248086,4.345674067,4.400232407,5.200744171,4.697598884,4.911974517,4.551061969,4.614124768,4.718293024,4.815620152,4.461084045,4.878963258,4.033150225,4.940316417,4.743419547,4.263152732,4.781872282,4.343904445,4.903193244,4.403651993,4.843662345,4.651839984,4.27862974,4.307145037,4.771496147,4.694914931,4.629469866,4.333969126
10,4.911770156,4.379121298,4.414317658,4.938993257,4.89890898,4.250469909,4.39111053,5.19297213,4.676788485,4.867246509,4.526647534,4.562212793,4.685333537,4.814888991,4.395067815,4.933476533,4.058790832,4.994982129,4.798492878,4.35410321,4.781942708,4.31590535,4.89781905,4.368467231,4.917168943,4.646270441,4.270564257,4.369479609,4.826193872,4.683705908,4.603036545,4.33686834
11,5.012302586,4.480334936,4.427023728,4.908688626,4.928460619,4.310019728,4.391546502,5.226316726,4.70702678,4.961013199,4.564380357,4.509476943,4.625445509,4.909335978,4.469113197,4.926120902,4.138246738,5.00625033,4.773139426,4.33925892,4.78154167,4.40212609,4.953732466,4.453169475,4.851952808,4.744411383,4.296613587,4.336966154,4.821850919,4.694056611,4.641467482,4.342807391
12,5.088973562,4.449882916,4.482693726,4.943719641,4.964229331,4.256613151,4.393886219,5.279112942,4.695328196,4.940973017,4.58447776,4.686749887,4.673729414,4.890399141,4.456179359,4.985013461,4.050125887,5.058492917,4.858167391,4.379212126,4.772411688,4.387159533,4.900689199,4.398126955,4.911527017,4.669546807,4.372254738,4.365388179,4.936838549,4.737817306,4.671960373,4.336804761
13,5.080055368,4.465728824,4.4489439,4.946558744,4.990819155,4.29490603,4.421125529,5.336951901,4.693102922,4.975313082,4.599890839,4.638415678,4.733893557,4.86381323,4.444190127,5.006993718,4.034049417,5.064367641,4.767136427,4.310321555,4.834668498,4.326746522,4.984141517,4.49976818,4.891126879,4.696508954,4.320415984,4.336614023,4.823376822,4.825774668,4.685693493,4.334960962
14,5.081966379,4.477829335,4.507820249,5.013504234,5.047823162,4.354690095,4.424709443,5.304907955,4.702932275,4.97487711,4.566576459,4.631876097,4.647193807,4.987822127,4.447496249,5.047248471,4.005111772,5.06817513,4.864217145,4.414082903,4.78288955,4.411056251,5.023974271,4.482044239,4.927036444,4.767121894,4.349514832,4.469476507,4.959073123,4.754901961,4.733825437,4.426407498
15,5.117875944,4.467364767,4.55587443,4.991695571,5.03571198,4.312551719,4.436996589,5.42798622,4.779670623,5.074387732,4.61356527,4.6692607,4.652068869,4.929720466,4.481574731,5.074387732,4.054976076,5.065559298,4.78154915,4.425225343,4.78511189,4.460008647,4.992751965,4.435579679,4.965692632,4.765519697,4.350041962,4.497851021,5.007400626,4.739125222,4.807710892,4.431328952
