Excel Raw Data Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copyright (c) 2008 Corbett Life Science, a QIAGEN Company. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File,Run 2024-03-29 71C S315T OLAGEN PCR 1.rex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,3/29/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,10:07:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Cycling A.g2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Page 1, Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, PCR NTC, PCR NTC
21,16.58370845,17.27419372,16.80159163,17.20424201,17.73131042,17.4659851,17.54539559,17.15253936,16.96355001,17.48645762,17.22171359,17.01524556,17.10906931,17.83746962,18.00576322,17.39108873,18.45273518,17.86548082,17.93469139,17.13032295,16.5549897,16.74921798,16.27597702,16.74623157,17.58297093,16.70076471,16.91045497,15.86195672,16.24671659,16.318325,17.19100481,16.05973907
22,16.60428074,17.37821393,17.21261267,17.2851339,18.04161353,17.36676233,17.86373693,17.65201801,17.25481719,17.5443874,17.21348462,17.06481815,17.20419506,18.27134356,17.94186313,17.69426006,18.35998213,17.54580431,17.85998087,17.19863432,16.47410955,17.06225681,16.84192743,16.84642968,17.66443063,16.59614819,17.10782847,15.56285595,16.57295084,16.34635437,17.09914256,16.09817273
23,16.65925514,17.44401211,17.18259767,17.22702881,18.14328222,17.27528365,18.04847283,17.6809808,17.32239379,17.80880446,16.63726371,17.13477184,17.2360825,18.34065073,17.78143359,17.80791435,19.05963734,17.56346118,18.17654688,17.22074523,16.69912143,16.87822211,16.16681632,16.71889414,16.88410773,16.85338623,17.19920653,15.96693152,16.57226881,16.29031379,17.32450658,16.02858523
24,16.83506087,17.80363986,17.44833941,17.41981677,18.32728422,17.66302211,17.67214084,18.05654558,17.57904718,17.4472928,17.23835179,17.45345998,17.5865677,18.47061003,17.98256657,18.17552962,18.83484652,18.07594633,17.17494469,17.52718013,16.7561667,17.05162999,16.28431079,16.49978383,17.2793164,16.87988215,17.36312364,16.03101103,16.81096615,16.5608072,17.3353388,16.32410163
25,16.9682671,17.89343334,17.46525848,17.40796902,18.32033382,17.61196307,17.83256493,17.80825949,17.55615865,17.82635233,18.00440604,17.81605249,17.87398228,19.23634464,18.25861862,18.6037995,19.46979985,18.34308821,18.13000687,17.93516823,16.74000534,17.09339108,16.4841942,16.64311691,17.42593016,17.09905648,17.39681086,15.91757585,16.75222618,16.29307495,17.54100862,16.38600966
26,17.21947923,18.133939,17.4451311,17.83189644,18.60298568,17.66122792,18.14784085,17.74527144,17.81392713,17.8549085,18.74804812,18.75856958,18.87530836,19.56980458,19.07581191,19.64857299,20.23029385,18.88926058,18.88511046,17.64553292,16.75843878,17.50514992,16.73804498,17.04046184,17.41931792,17.48795809,17.56069276,15.81961489,16.78258437,16.84563319,17.6068404,16.4716055
27,17.26710918,18.13087881,17.38180616,17.99367337,18.73032222,17.9937656,18.23311426,18.20717392,17.32413977,17.51918822,20.28610666,20.18986583,20.39388622,20.42816815,20.1467046,21.03870342,21.4546543,20.24231327,19.68080901,19.45255325,16.9708494,17.55714797,16.83260853,17.03471427,17.81381813,17.3484515,17.44622662,16.05973907,16.90771433,16.63213041,17.77163784,16.46437563
28,17.59530531,18.32068595,17.71643651,17.9724829,18.87623173,18.22561051,18.38888204,18.57913074,17.2020676,17.64596889,22.83939879,22.65764477,22.57833873,23.58837699,22.00055314,23.318133,24.25617718,22.88588795,22.03911396,21.85714034,17.23637315,17.53544998,17.15466192,16.58274205,18.08402172,17.06741945,17.24937057,15.83385105,17.14361283,16.87530445,17.90015513,16.44947992
29,17.57801175,18.58267162,17.64302608,18.19471899,18.20706493,18.26433712,18.07136863,18.09435162,17.4741959,17.66889096,27.80934942,27.1766041,27.09066402,27.84838254,25.14483355,28.09358867,27.99531132,27.14765284,25.69395488,26.21554458,17.26212456,17.6794549,17.26656421,16.72290706,18.09356128,17.32427182,17.31059739,15.89641304,17.27216373,16.89041479,17.9991901,16.42524714
30,17.82029959,18.74560667,17.92148646,17.98146616,18.45243,18.60557972,17.85254699,18.23030559,17.48643219,18.00289921,35.69619287,34.1294183,33.78216656,35.21451642,30.74728125,35.0140056,34.88126574,34.44782882,32.49234324,33.63837505,17.60471504,17.93636988,17.63038289,16.90559752,17.70606037,17.6723452,17.36007183,15.89862923,17.29512038,16.88653122,18.35192391,16.59835711
