"Excel Raw Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Run 2024-04-15 jak2 group 3.rex"
"Date","4/15/2024"
"Time","11:58:08 AM"

"Operator","djn"
"Run Id",""
"Notes",""
"Machine Serial No","0512168"

"Channel","Gain"
"Green","5"
"Yellow","5"
"Orange","5"
"Red","5"
"Crimson","7"
"HRM","7"
"Green 2","7"
"Green 3","9"

"Channel","Threshold"


"Channel Cycling A.Green"

"ID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26"
"Page 1"," JAK2 WT"," JAK2 WT"," JAK2 WT"," JAK2 WT"," JAK2 WT"," JAK2 WT"," JAK2 WT"," JAK2 WT"," JAK2 MUT"," JAK2 MUT"," JAK2 MUT"," JAK2 MUT"," JAK2 MUT"," JAK2 MUT"," JAK2 MUT"," JAK2 MUT"," JAK2 NTC"," JAK2 NTC"," JAK2 NTC"," JAK2 NTC"," JAK2 NTC"," JAK2 NTC"," JAK2 NTC"," JAK2 NTC"," PCR NTC"," PCR NTC"
"22","2.0902316828158","2.31315872652563","2.13819587497775","2.27793721499375","2.3545688054729","2.50411448626143","2.08074370125183","2.18966964217594","2.30736756440579","2.5131609063859","2.12863355458915","2.42934527896762","2.41397726405737","2.13192011315152","2.38254367895018","2.35951429359532","2.30029755092699","2.28108505517524","2.26957142956227","2.3171914680269","1.95338955696017","2.20612758722166","2.25738155184253","2.07239315959847","2.2016588736662","2.09480938938481"
"23","2.09833349682285","2.29255904696509","2.12220296678983","2.25975214988719","2.38986800946059","2.5087005769084","2.06708883293914","2.16144045166705","2.43926364320047","2.64485800306354","2.22724498359655","2.50972762645914","2.51577673871105","2.2312759085476","2.49617252867424","2.44611096899277","2.27016098268101","2.25434441959963","2.2639693411037","2.23356867440182","1.96040283817807","2.20743550338423","2.28967492414505","2.05630579079881","2.2118539124719","2.08979240794301"
"24","2.08601728629195","2.33979494222113","2.15854123750668","2.27523754188895","2.37920849273562","2.5092952875054","2.11815569288675","2.20481967105908","2.5935977503842","2.84451643572724","2.39588442380843","2.72739757381552","2.7410289667099","2.43969961525466","2.64782177462425","2.68233259581394","2.28177864707963","2.26507464204878","2.2693435350794","2.2909660721517","1.95796726352918","2.19909433217095","2.25121436382595","2.05223671829302","2.23932015188596","2.09025124566438"
"25","2.12953114411249","2.32569292308363","2.1665776557056","2.25299458304723","2.39090921330766","2.50451412731111","2.07766842145418","2.21016032872293","2.90575374118519","3.22514686808576","2.69638654623777","3.06128677151795","3.05758100905732","2.72744117102094","2.9730024305442","2.99370271904033","2.24892551054144","2.27512016479744","2.27420462348363","2.29475343963785","1.98308596111297","2.20531013962005","2.29472213908012","2.04765901172402","2.24111434457051","2.12074972660919"
"26","2.15365835049973","2.30935759517815","2.21446555275807","2.29841560489306","2.3525052044164","2.51207097625042","2.08907747474925","2.21506501433258","3.47360734176939","3.80189429857546","3.09707281096615","3.62147453014929","3.60184125530887","3.22466729882615","3.48853938462545","3.5212372886898","2.32688346215469","2.27864147754283","2.24253125374663","2.33691920347906","1.99470629317276","2.19831642125073","2.25289921416037","2.03751539526316","2.24216067750057","2.1335633924327"
"27","2.1790836957351","2.34632893364869","2.10462602680501","2.27631908794646","2.38062540191174","2.55940748044204","2.12961449171108","2.2196154726482","4.15409264573833","4.64375633521891","3.82925154497597","4.38192158036516","4.38315403982605","4.00447597975636","4.11817525573534","4.27361606121048","2.27392124164841","2.26779583428702","2.24144858981206","2.32928969253071","1.95984529699339","2.19373871468172","2.26116905906331","2.04517844252337","2.2109148957398","2.13178072785534"
"28","2.12145283840247","2.34812871571855","2.19787136644541","2.29648279545281","2.40596627756161","2.55476717275756","2.10668403847621","2.21748801286453","5.15042852419827","5.69226912554905","4.68244885502839","5.44571016074793","5.16647006003838","4.94961979603774","5.2649983469393","5.2742300551868","2.29739833676661","2.27558967316349","2.2793708923258","2.31279821117312","2.01454992617326","2.23955490606898","2.27594180443803","2.07910042197064","2.26535439078355","2.11833371480888"
"29","2.1560997940032","2.37201495384146","2.2064545662623","2.32878105846748","2.38099430134221","2.57441497999978","2.11724797671239","2.24741917120036","6.26293837898324","6.96445234783528","5.65851482766108","6.54907047124946","6.65476462958724","6.04397141476565","6.35527362696051","6.35549999706557","2.30400331338761","2.29872078533099","2.29495689326314","2.31619236540271","2.00564583810178","2.21072709239338","2.28332188906691","2.0694094758526","2.24650949874113","2.11631734405825"
"30","2.18110111449548","2.37471071437654","2.19719742631164","2.32528419928283","2.44629864680219","2.5810635538262","2.13931486991684","2.23004736165643","7.47739757381552","8.21818221452005","6.65435772233667","7.72939885322582","7.87365529869535","7.15353119198393","7.56186261793952","7.4795365617064","2.27410289667099","2.26807753930665","2.28035182944773","2.3152631300949","1.97146562905318","2.21866178377966","2.27552707204801","2.06899621067623","2.24144132361116","2.11591770300857"
"31","2.19475598280817","2.39120610830384","2.22406112998926","2.3189018199318","2.45811943454425","2.61977060603749","2.13402507565932","2.21889653796269","8.54340898286881","9.4563210498207","7.40051662688422","8.98745490414064","9.05165178912032","8.30172172630401","8.77102450460198","8.60914015411612","2.27838995520387","2.25903950326015","2.28254622212049","2.32405802788041","2.02182040131228","2.24409348694082","2.3050659952697","2.07936871246553","2.26925131022178","2.11561252257064"
